"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176","200 — valid credentials return a token matching the contract (zod + live OpenAPI)","contract-tests","2026-07-25","passed","2026-07-25","Contract: POST /users/login","contract/auth.contract.spec.ts","",""
"","35","422 — an invalid body returns a field-level validation error","contract-tests","2026-07-25","passed","2026-07-25","Contract: POST /users/register","contract/auth.contract.spec.ts","",""
"","48","200 — a real product matches the Product contract","contract-tests","2026-07-25","passed","2026-07-25","Contract: GET /products/{id}","contract/products.contract.spec.ts","",""
"","2075","search narrows the catalogue to matching products","ui-tests","2026-07-25","passed","2026-07-25","Toolshop home page","ui/home.spec.ts","",""
"","46","401 — invalid credentials return the documented error shape","contract-tests","2026-07-25","passed","2026-07-25","Contract: POST /users/login","contract/auth.contract.spec.ts","",""
"","29","405 — an unsupported method returns the documented method-not-allowed shape","contract-tests","2026-07-25","passed","2026-07-25","Contract: GET /products/{id}","contract/products.contract.spec.ts","",""
"","2156","authenticate as customer","setup","2026-07-25","passed","2026-07-25","","auth/auth.setup.ts","",""
"","63","GET /products/search returns only products matching the query","api-tests","2026-07-25","passed","2026-07-25","Products search API","api/products-search.api.spec.ts","",""
"","16","404 — an unknown id returns the documented not-found shape","contract-tests","2026-07-25","passed","2026-07-25","Contract: GET /products/{id}","contract/products.contract.spec.ts","",""
"","20","GET /products/search for an unmatched term returns an empty result set","api-tests","2026-07-25","passed","2026-07-25","Products search API","api/products-search.api.spec.ts","",""
"","1737","sorting by price shows the most expensive products first","ui-tests","2026-07-25","passed","2026-07-25","Toolshop home page","ui/home.spec.ts","",""
"","21","GET /products returns a paginated list of products","api-tests","2026-07-25","passed","2026-07-25","Products API","api/products.api.spec.ts","",""
"","1700","favouriting a product in the UI persists to the customer account","ui-tests","2026-07-25","passed","2026-07-25","Favourites — UI action, API verification","hybrid/favourites.hybrid.spec.ts","",""
